127.0.0.1 - - [17/Mar/2021:09:47:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:47:06 +0900] "GET /WebClient_JavaScript/Ex29_DOM_Script.html HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:47:06 +0900] "GET /WebClient_JavaScript/images/1.jpg HTTP/1.1" 200 595284
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:47:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:50:36 +0900] "GET /WebClient_JavaScript/Ex26_DOM_Script.html HTTP/1.1" 200 746
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:54:46 +0900] "GET /WebClient_JavaScript/Ex29_DOM_Script.html HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:54:46 +0900] "GET /WebClient_JavaScript/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:59:28 +0900] "GET /WebClient_JavaScript/Ex29_DOM_Script.html HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:59:28 +0900] "GET /WebClient_JavaScript/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2021:09:59:46 +0900] "GET /WebClient_JavaScript/Ex29_DOM_Script.html HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:00:41 +0900] "GET /WebClient_JavaScript/Canvas.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:00:43 +0900] "GET /WebClient_JavaScript/Ex29_DOM_Script.html HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:01:45 +0900] "GET /WebClient_JavaScript/Ex29_DOM_Script.html HTTP/1.1" 200 1073
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:01:46 +0900] "GET /WebClient_JavaScript/images/2.jpg HTTP/1.1" 200 845941
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:01:46 +0900] "GET /WebClient_JavaScript/images/3.jpg HTTP/1.1" 200 775702
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:01:46 +0900] "GET /WebClient_JavaScript/images/4.jpg HTTP/1.1" 200 780831
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:25:05 +0900] "GET /WebClient_JavaScript/Ex29_DOM_Script.html HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:25:30 +0900] "GET /WebClient_JavaScript/Ex29_Event_Object.html HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [17/Mar/2021:10:26:14 +0900] "GET /WebClient_JavaScript/Ex29_Event_Object.html HTTP/1.1" 200 1320
